DATE,AQI,PM2.5 AVG,PM2.5 MIN,PM2.5 MAX,PM10 AVG,PM10 MIN,PM10 MAX,NO2 AVG,NO2 MIN,NO2 MAX,NH3 AVG,NH3 MIN,NH3 MAX,SO2 AVG,SO2 MIN,SO2 MAX,CO AVG,CO MIN,CO MAX,OZONE AVG,OZONE MIN,OZONE MAX,PROMINENT POLLUTENT,MAX TEMP,MIN TEMP,HUMIDITY
2017-03-25,75,75,45,210,74,50,110.0,28,40,180.0,3,2,3,2,1,4,34,1,49,38,21,70.0,PM2.5,36,18,32.0
2017-03-26,82,82,47,153,75,65,86.0,29,26,31.0,3,2,3,3,1,3,32,7,55,30,8,70.0,PM2.5,38,19,23.0
2017-03-27,72,72,63,150,71,45,98.0,38,34,40.0,3,3,3,7,2,15,40,10,68,26,18,53.0,PM2.5,40,20,14.0
2017-03-28,80,78,63,88,80,73,87.0,39,37,40.0,3,3,3,6,5,7,25,12,48,21,4,71.0,PM10,40,21,36.0
2017-03-29,73,64,53,75,73,63,86.0,38,36,41.0,3,2,4,5,1,8,35,20,54,32,6,56.0,PM10,40,23,31.0
2017-03-30,75,75,49,120,74,60,109.0,39,36,41.0,3,3,3,6,2,8,35,17,64,29,8,44.0,PM2.5,40,23,31.0
2017-03-31,78,78,49,146,72,60,112.0,40,30,46.0,3,3,4,5,2,8,42,17,72,14,9,51.0,PM2.5,41,23,30.0
2017-04-01,52,38,19,61,35,24,54.0,20,10,24.0,3,2,3,4,1,7,40,20,65,44,15,66.0,CO,40,24,16.0
2017-04-02,59,53,11,191,59,22,104.0,18,8,20.0,2,1,2,6,2,10,30,18,45,40,7,77.0,PM10,40,21,14.0
2017-04-03,70,62,32,114,70,41,122.0,10,7,18.0,2,1,2,9,1,16,28,11,46,47,18,68.0,PM10,39,22,14.0
2017-04-04,70,70,49,100,63,42,100.0,12,6,24.0,2,1,2,9,1,18,32,9,40,50,6,87.0,PM2.5,39,23,23.0
2017-04-05,88,88,79,99,85,76,95.0,6,5,9.0,1,1,1,6,3,12,29,12,41,40,8,60.0,PM2.5,36,20,51.0
